id,name,university,platform,description,website,certificate,date,image_url,project,other
36,How to Write an Essay,UC Berkeley,edX,"An introduction to academic writing for English Language Learners, focusing on essay development, grammatical correctness, and self-editing.",https://www.edx.org/course/how-write-essay-uc-berkeleyx-colwri2-1x,https://courses.edx.org/certificates/user/123882/course/course-v1:BerkeleyX+ColWri2.1x+3T2015,October 2015,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/collegewriting-378x225_0.jpg?itok=2x7TlmNx,,
37,Data Science and Machine Learning Essentials,Microsoft,edX,"Learn key concepts of data science and machine learning with examples on how to build a cloud data science solution with R, Python and Azure Machine Learning from the Cortana Analytics Suite.",https://www.edx.org/course/data-science-machine-learning-essentials-microsoft-dat203x,https://courses.edx.org/certificates/user/123882/course/course-v1:Microsoft+DAT203x+1T2016,October 2015,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/dat203x-course_image-378x225.png?itok=x120kHB_,,
38,Introduction to Biomedical Imaging,The University of Queensland ,edX,Discover how medical imaging technologies are complementary and what information they provide to health professionals.,https://www.edx.org/course/introduction-biomedical-imaging-uqx-bioimg101x-1,https://courses.edx.org/certificates/user/123882/course/course-v1:UQx+BIOIMG101x+2T2015,October 2015,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/bioimag101x_course_homepage_378x225.jpg?itok=iApBd36W,,
39,How to Survive Your PhD,Australian National University,edX,Learn evidence-based strategies for emotional resilience and supervision that will help you finish your PhD or research degree. ,https://www.edx.org/course/how-survive-phd-anux-rsit-01x,,October 2015,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/608e62ab1797.png,,
40,Super-Earths And Life,Harvard University,edX,"Learn about alien life, how we search for it, and what this teaches us about our place in the universe.",https://www.edx.org/course/super-earths-life-harvardx-spu30x-0,https://www.edx.org/sites/default/files/course/image/promoted/super-earths-378x225.jpg,October 2015,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/super-earths-378x225.jpg?itok=jZztqEeo,,
41,Introduction to Deep Earth Science,Tokyo Tech,edX,"Learn about the nature and dynamics of the Earth’s core, mantle and crust in this introductory Earth Science course. ",https://www.edx.org/course/introduction-deep-earth-science-part-1-tokyotechx-geos101x,https://courses.edx.org/certificates/0c629353c71847ea86536ecfbcc45d93,November 2015,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/geos101x-intro_to_deep_earth_science_p1-378x225.png?itok=jsrdW0i_,,
42,Inclusive Leadership Training: Maximizing Work-Life for Your Success,Catalyst ,edX,"Beyond work-life ""balance""; develop skills for achieving work-life effectiveness as an individual and as a leader.",https://www.edx.org/course/inclusive-leadership-training-maximizing-catalystx-il3x,,November 2015,https://www.edx.org/sites/default/files/course/image/promoted/il3x_banner.jpg,,
43,Managing Addiction: A Framework for Successful Treatment,The University of Adelaide,edX,Understand how to manage addiction in practice and respond effectively to clients with drug and alcohol problems.,https://www.edx.org/course/managing-addiction-framework-successful-adelaidex-addictionx,https://courses.edx.org/certificates/user/123882/course/course-v1:AdelaideX+AddictionX+3T2015,November 2015,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/addictionx-managing_addiction-378x225.png?itok=QOFHM0aX,,
44,Introduction to R Programming,Microsoft,edX,"Learn the R statistical programming language, the lingua franca of data science. ",https://www.edx.org/course/introduction-r-programming-microsoft-dat204x-0,https://courses.edx.org/certificates/user/123882/course/course-v1:Microsoft+DAT204x+3T2015,November 2015,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/dat204x-course_image-378x225.png?itok=zZwa7R-m,,
45,Human Rights: The Right to Freedom of Expression,Amnesty International,edX,Take action for human rights. Learn to defend human rights by understanding the right to freedom of expression.,https://www.edx.org/course/human-rights-right-freedom-expression-amnesty-internationalx-rights1x,https://courses.edx.org/certificates/71d9f7e165624106971d2d6882973b84,November 2015,https://webview.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/rights1x-about_page_image-318x210.png?itok=82n6L_D5,,
46,Terrorism and Counterterrorism,Georgetown University,edX,"What is the danger of terrorism, and how can the world respond effectively?",https://www.edx.org/course/terrorism-counterterrorism-georgetownx-guix-501-02x,https://courses.edx.org/certificates/e0c5b5334b2a45b3a3ddcded8ee041b5,November 2015,https://www.edx.org/sites/default/files/course/image/promoted/g_terrorism_378x225.jpg,,n/a
47,Trends in e-Psychology,KU Leuven,edX,"Learn about e-based promotion of physical, mental and social health, focusing on e-cigarettes, e-mental health applications and e-mediation as case-examples.",https://www.edx.org/course/trends-e-psychology-kuleuvenx-epsyx,,December 2015,https://webview.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/trends_in_e-psychology-378x225.png?itok=rtxkWdJn,,
